week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1985-12-01,26,4822918,As Is,Lyceum Theatre,60075,NA,19.14,NA,3139,685,0.5728,8,0
1985-12-01,26,4822918,Big River,Eugene O'Neill Theatre,319253,NA,38.9,NA,8206,1018,1.0076,8,0
1985-12-01,26,4822918,Biloxi Blues,Neil Simon Theatre,260873,NA,29.41,NA,8871,1336,0.83,8,0
1985-12-01,26,4822918,Blood Knot,John Golden Theatre,44326,NA,19.32,NA,2294,805,0.7124,0,4
1985-12-01,26,4822918,Brighton Beach Memoirs,46th Street Theatre,147323,NA,21.9,NA,6728,1368,0.6148,8,0
1985-12-01,26,4822918,Cats,Winter Garden Theatre,473179,NA,39.18,NA,12078,1482,1.0187,8,0
1985-12-01,26,4822918,Doubles,Ritz Theatre,90145,NA,20.92,NA,4309,864,0.6234,8,0
1985-12-01,26,4822918,Hay Fever,Music Box Theatre,33885,NA,21.1,NA,1606,1110,0.3617,0,4
1985-12-01,26,4822918,I'm Not Rappaport,Booth Theatre,131965,NA,23.93,NA,5514,785,0.878,8,0
1985-12-01,26,4822918,Jerry's Girls,St. James Theatre,175288,NA,20.1,NA,8721,1621,0.6725,0,8
1985-12-01,26,4822918,La Cage aux Folles,Palace Theatre,430222,NA,35.64,NA,12072,1683,0.8966,8,0
1985-12-01,26,4822918,Oh! Calcutta!,Edison Theatre,44364,NA,14.49,NA,3062,499,0.6818,9,0
1985-12-01,26,4822918,Singin' in the Rain,Gershwin Theatre,372899,NA,34.35,NA,10855,1933,0.702,8,0
1985-12-01,26,4822918,Song and Dance,Royale Theatre,300940,NA,37.38,NA,8051,1039,0.9686,8,0
1985-12-01,26,4822918,Tango Argentino,Mark Hellinger Theatre,315797,NA,33.45,NA,9440,1603,0.7361,8,0
1985-12-01,26,4822918,The Boys of Winter,Biltmore Theatre,53483,NA,22.66,NA,2360,499,0.5912,1,7
1985-12-01,26,4822918,The Iceman Cometh,Lunt-Fontanne Theatre,195891,NA,28.83,NA,6795,1511,0.7495,6,0
1985-12-01,26,4822918,The Marriage of Figaro,Circle in the Square Theatre,44430,NA,17.31,NA,2567,602,0.533,8,0
1985-12-01,26,4822918,The Mystery of Edwin Drood,Imperial Theatre,220749,NA,31.04,NA,7111,1454,0.6113,0,8
1985-12-01,26,4822918,The Odd Couple,Broadhurst Theatre,183272,NA,29.14,NA,6290,1181,0.6657,8,0
1985-12-01,26,4822918,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,206179,NA,27.03,NA,7629,1079,1.0101,7,0
1985-12-01,26,4822918,Wind in the Willows,Nederlander Theatre,68740,NA,19.23,NA,3574,1182,0.432,0,7
1985-12-08,27,4280354,42nd Street,St. James Theatre,314035,NA,33.55,NA,9359,1655,0.7069,8,0
1985-12-08,27,4280354,A Chorus Line,Sam S. Shubert Theatre,242153,NA,28.92,NA,8372,1472,0.7109,8,0
1985-12-08,27,4280354,As Is,Lyceum Theatre,44368,NA,15.22,NA,2915,685,0.5319,8,0
1985-12-08,27,4280354,Big River,Eugene O'Neill Theatre,311713,NA,38,NA,8203,1018,1.0072,8,0
1985-12-08,27,4280354,Biloxi Blues,Neil Simon Theatre,232265,NA,28.28,NA,8212,1336,0.7683,8,0
1985-12-08,27,4280354,Blood Knot,John Golden Theatre,67950,NA,16.33,NA,4162,805,0.6463,0,8
1985-12-08,27,4280354,Brighton Beach Memoirs,46th Street Theatre,129250,NA,21.6,NA,5984,1368,0.5468,8,0
1985-12-08,27,4280354,Cats,Winter Garden Theatre,460612,NA,38.33,NA,12018,1482,1.0137,8,0
1985-12-08,27,4280354,Doubles,Ritz Theatre,87371,NA,20.63,NA,4235,864,0.6127,8,0
1985-12-08,27,4280354,Hay Fever,Music Box Theatre,59209,NA,15.03,NA,3940,1110,0.4437,0,8
1985-12-08,27,4280354,I'm Not Rappaport,Booth Theatre,132546,NA,24.95,NA,5313,785,0.846,8,0
1985-12-08,27,4280354,La Cage aux Folles,Palace Theatre,387799,NA,35.4,NA,10955,1683,0.8137,8,0
1985-12-08,27,4280354,Oh! Calcutta!,Edison Theatre,36135,NA,14.43,NA,2504,499,0.5576,9,0
1985-12-08,27,4280354,Singin' in the Rain,Gershwin Theatre,371685,NA,32.87,NA,11308,1933,0.7312,8,0
1985-12-08,27,4280354,Song and Dance,Royale Theatre,290119,NA,35.99,NA,8062,1039,0.9699,8,0
1985-12-08,27,4280354,Tango Argentino,Mark Hellinger Theatre,310131,NA,35.51,NA,8733,1603,0.681,8,0
1985-12-08,27,4280354,The Boys of Winter,Biltmore Theatre,37318,NA,23.35,NA,1598,499,0.4003,8,0
1985-12-08,27,4280354,The Marriage of Figaro,Circle in the Square Theatre,40235,NA,15.37,NA,2617,602,0.5434,8,0
1985-12-08,27,4280354,The Mystery of Edwin Drood,Imperial Theatre,264941,NA,31.7,NA,8359,1454,0.7186,8,0
1985-12-08,27,4280354,The Odd Couple,Broadhurst Theatre,182215,NA,28.41,NA,6413,1181,0.6788,8,0
1985-12-08,27,4280354,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,226562,NA,26.56,NA,8529,1079,0.9881,8,0
1985-12-08,27,4280354,Wind in the Willows,Nederlander Theatre,51742,NA,15.89,NA,3256,1182,0.3443,0,8
