week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1985-12-15,28,4169643,Blood Knot,John Golden Theatre,65883,NA,19.75,NA,3335,805,0.5179,7,1
1985-12-15,28,4169643,Brighton Beach Memoirs,46th Street Theatre,102862,NA,20.56,NA,5002,1368,0.4571,8,0
1985-12-15,28,4169643,Cats,Winter Garden Theatre,461768,NA,38.42,NA,12020,1482,1.0138,8,0
1985-12-15,28,4169643,Corpse!,Helen Hayes Theatre,21300,NA,42.6,NA,500,499,0.2004,0,5
1985-12-15,28,4169643,Doubles,Ritz Theatre,63590,NA,17.74,NA,3585,864,0.5187,8,0
1985-12-15,28,4169643,Hay Fever,Music Box Theatre,63829,NA,20.06,NA,3182,1110,0.3583,4,4
1985-12-15,28,4169643,I'm Not Rappaport,Booth Theatre,126296,NA,25.21,NA,5010,785,0.7978,8,0
1985-12-15,28,4169643,Jerry's Girls,St. James Theatre,74705,NA,22.18,NA,3368,1621,0.5194,0,4
1985-12-15,28,4169643,La Cage aux Folles,Palace Theatre,379580,NA,35,NA,10846,1683,0.8056,8,0
1985-12-15,28,4169643,Oh! Calcutta!,Edison Theatre,32264,NA,14.31,NA,2255,499,0.5021,9,0
1985-12-15,28,4169643,Singin' in the Rain,Gershwin Theatre,343534,NA,31.96,NA,10748,1933,0.695,8,0
1985-12-15,28,4169643,Song and Dance,Royale Theatre,270024,NA,36.47,NA,7403,1039,0.8906,8,0
1985-12-15,28,4169643,Tango Argentino,Mark Hellinger Theatre,277368,NA,35.53,NA,7807,1603,0.6088,8,0
1985-12-15,28,4169643,The Marriage of Figaro,Circle in the Square Theatre,38757,NA,15.46,NA,2507,602,0.5206,8,0
1985-12-15,28,4169643,The Mystery of Edwin Drood,Imperial Theatre,290829,NA,31.13,NA,9342,1454,0.8031,8,0
1985-12-15,28,4169643,The Odd Couple,Broadhurst Theatre,145212,NA,28.84,NA,5035,1181,0.5329,8,0
1985-12-15,28,4169643,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,227869,NA,26.36,NA,8646,1079,1.0016,8,0
1985-12-15,28,4169643,Wind in the Willows,Nederlander Theatre,37091,NA,18.35,NA,2021,1182,0.285,0,6
1985-12-22,29,3483038,42nd Street,St. James Theatre,193717,NA,32.77,NA,5912,1655,0.4465,8,0
1985-12-22,29,3483038,A Chorus Line,Sam S. Shubert Theatre,189661,NA,28.83,NA,6578,1472,0.5586,8,0
1985-12-22,29,3483038,As Is,Lyceum Theatre,30371,NA,14.39,NA,2110,685,0.385,8,0
1985-12-22,29,3483038,Benefactors,Brooks Atkinson Theatre,150313,NA,23.88,NA,6295,1080,0.7286,1,7
1985-12-22,29,3483038,Big River,Eugene O'Neill Theatre,273729,NA,37.2,NA,7358,1018,0.9035,8,0
1985-12-22,29,3483038,Biloxi Blues,Neil Simon Theatre,134151,NA,25.93,NA,5173,1336,0.484,8,0
1985-12-22,29,3483038,Blood Knot,John Golden Theatre,66492,NA,18.54,NA,3587,805,0.557,8,0
1985-12-22,29,3483038,Brighton Beach Memoirs,46th Street Theatre,58578,NA,18.71,NA,3131,1368,0.2861,8,0
1985-12-22,29,3483038,Cats,Winter Garden Theatre,464973,NA,38.71,NA,12012,1482,1.0132,8,0
1985-12-22,29,3483038,Corpse!,Helen Hayes Theatre,16500,NA,41.25,NA,400,499,0.1002,0,8
1985-12-22,29,3483038,Doubles,Ritz Theatre,35005,NA,15.38,NA,2276,864,0.3293,8,0
1985-12-22,29,3483038,Hay Fever,Music Box Theatre,77684,NA,19.02,NA,4084,1110,0.4599,8,0
1985-12-22,29,3483038,I'm Not Rappaport,Booth Theatre,99965,NA,24.81,NA,4029,785,0.6416,8,0
1985-12-22,29,3483038,Jerry's Girls,St. James Theatre,89645,NA,27.28,NA,3286,1621,0.2896,5,2
1985-12-22,29,3483038,La Cage aux Folles,Palace Theatre,297095,NA,33.32,NA,8917,1683,0.6623,8,0
1985-12-22,29,3483038,Oh! Calcutta!,Edison Theatre,26226,NA,14.24,NA,1842,499,0.4102,9,0
1985-12-22,29,3483038,Singin' in the Rain,Gershwin Theatre,229111,NA,30.61,NA,7484,1933,0.484,8,0
1985-12-22,29,3483038,Song and Dance,Royale Theatre,204813,NA,36.1,NA,5673,1039,0.6825,8,0
1985-12-22,29,3483038,Tango Argentino,Mark Hellinger Theatre,229878,NA,34.96,NA,6575,1603,0.5127,8,0
1985-12-22,29,3483038,The Mystery of Edwin Drood,Imperial Theatre,273418,NA,31.67,NA,8633,1425,0.7573,8,0
1985-12-22,29,3483038,The Odd Couple,Broadhurst Theatre,86357,NA,26.69,NA,3236,1181,0.3425,8,0
1985-12-22,29,3483038,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,216027,NA,26.69,NA,8093,1079,0.9376,8,0
1985-12-22,29,3483038,Wind in the Willows,Nederlander Theatre,39329,NA,20.82,NA,1889,1182,0.1998,4,4
1985-12-29,30,5287547,42nd Street,St. James Theatre,391800,NA,34.4,NA,11388,1655,0.8601,8,0
1985-12-29,30,5287547,A Chorus Line,Sam S. Shubert Theatre,380075,NA,33.74,NA,11265,1472,0.9566,8,0
1985-12-29,30,5287547,As Is,Lyceum Theatre,51321,NA,19.82,NA,2590,685,0.4726,8,0
1985-12-29,30,5287547,Benefactors,Brooks Atkinson Theatre,223396,NA,30.24,NA,7388,1080,0.8551,8,0
1985-12-29,30,5287547,Big River,Eugene O'Neill Theatre,325070,NA,39.57,NA,8216,1018,1.0088,8,0
1985-12-29,30,5287547,Biloxi Blues,Neil Simon Theatre,246859,NA,26.95,NA,9160,1336,0.857,8,0
1985-12-29,30,5287547,Blood Knot,John Golden Theatre,94954,NA,22.44,NA,4232,805,0.6571,8,0
1985-12-29,30,5287547,Brighton Beach Memoirs,46th Street Theatre,146701,NA,22.47,NA,6528,1368,0.5965,8,0
1985-12-29,30,5287547,Cats,Winter Garden Theatre,478327,NA,39.56,NA,12092,1482,1.0199,8,0
1985-12-29,30,5287547,Corpse!,Helen Hayes Theatre,30400,NA,50.67,NA,600,499,0.1503,0,8
1985-12-29,30,5287547,Doubles,Ritz Theatre,79146,NA,19.11,NA,4141,864,0.5991,8,0
1985-12-29,30,5287547,Hay Fever,Music Box Theatre,147263,NA,24.6,NA,5987,1110,0.6742,8,0
1985-12-29,30,5287547,I'm Not Rappaport,Booth Theatre,156620,NA,25.97,NA,6030,785,0.9602,8,0
1985-12-29,30,5287547,Jerry's Girls,St. James Theatre,212863,NA,26.93,NA,7903,1621,0.6094,8,0
1985-12-29,30,5287547,La Cage aux Folles,Palace Theatre,457440,NA,41.17,NA,11110,1683,0.8252,8,0
1985-12-29,30,5287547,Oh! Calcutta!,Edison Theatre,44802,NA,14.48,NA,3094,499,0.7751,8,0
1985-12-29,30,5287547,Singin' in the Rain,Gershwin Theatre,413666,NA,33.97,NA,12178,1933,0.7875,8,0
1985-12-29,30,5287547,Song and Dance,Royale Theatre,292181,NA,37.59,NA,7772,1039,0.935,8,0
1985-12-29,30,5287547,Tango Argentino,Mark Hellinger Theatre,285297,NA,37.85,NA,7537,1603,0.5877,8,0
1985-12-29,30,5287547,The Mystery of Edwin Drood,Imperial Theatre,421050,NA,37.43,NA,11249,1425,0.9868,8,0
1985-12-29,30,5287547,The Odd Couple,Broadhurst Theatre,170823,NA,26.37,NA,6477,1181,0.6855,8,0
1985-12-29,30,5287547,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,237493,NA,27.24,NA,8719,1079,1.0101,8,0
1986-01-05,31,4720108,42nd Street,St. James Theatre,321410,NA,31.68,NA,10145,1655,0.7662,8,0
1986-01-05,31,4720108,A Chorus Line,Sam S. Shubert Theatre,309586,NA,31.06,NA,9967,1472,0.8464,8,0
1986-01-05,31,4720108,As Is,Lyceum Theatre,67610,NA,21.79,NA,3103,685,0.5662,8,0
1986-01-05,31,4720108,Benefactors,Brooks Atkinson Theatre,230504,NA,30.92,NA,7454,1080,0.8627,8,0
1986-01-05,31,4720108,Big River,Eugene O'Neill Theatre,305798,NA,39.7,NA,7703,1018,0.9458,8,0
1986-01-05,31,4720108,Biloxi Blues,Neil Simon Theatre,203250,NA,25.97,NA,7825,1336,0.7321,8,0
1986-01-05,31,4720108,Blood Knot,John Golden Theatre,79401,NA,23.24,NA,3416,805,0.5304,8,0
1986-01-05,31,4720108,Brighton Beach Memoirs,46th Street Theatre,98320,NA,20.45,NA,4808,1368,0.4393,8,0
1986-01-05,31,4720108,Cats,Winter Garden Theatre,489454,NA,40.52,NA,12078,1482,1.0187,8,0
1986-01-05,31,4720108,Corpse!,Helen Hayes Theatre,25000,NA,50,NA,500,499,0.1253,1,7
1986-01-05,31,4720108,Doubles,Ritz Theatre,60452,NA,18.38,NA,3289,864,0.4758,8,0
1986-01-05,31,4720108,Hay Fever,Music Box Theatre,146089,NA,25.81,NA,5660,1110,0.6374,8,0
1986-01-05,31,4720108,I'm Not Rappaport,Booth Theatre,138805,NA,25.98,NA,5342,785,0.8506,8,0
1986-01-05,31,4720108,Jerry's Girls,St. James Theatre,168385,NA,24.37,NA,6910,1621,0.5329,8,0
1986-01-05,31,4720108,La Cage aux Folles,Palace Theatre,405609,NA,39.99,NA,10142,1683,0.7533,8,0
1986-01-05,31,4720108,Oh! Calcutta!,Edison Theatre,38512,NA,14.31,NA,2691,499,0.5992,9,0
1986-01-05,31,4720108,Singin' in the Rain,Gershwin Theatre,299837,NA,31.46,NA,9530,1933,0.6163,8,0
1986-01-05,31,4720108,Song and Dance,Royale Theatre,269677,NA,35.22,NA,7657,1039,0.9212,8,0
1986-01-05,31,4720108,Tango Argentino,Mark Hellinger Theatre,346792,NA,39.19,NA,8848,1603,0.69,8,0
1986-01-05,31,4720108,The Mystery of Edwin Drood,Imperial Theatre,337838,NA,34.29,NA,9851,1425,0.8641,8,0
1986-01-05,31,4720108,The Odd Couple,Broadhurst Theatre,123632,NA,26.43,NA,4677,1181,0.495,8,0
1986-01-05,31,4720108,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,254147,NA,29.13,NA,8724,1079,1.0107,8,0
1986-01-12,32,3809728,42nd Street,St. James Theatre,211864,NA,32.87,NA,6445,1655,0.4868,8,0
1986-01-12,32,3809728,A Chorus Line,Sam S. Shubert Theatre,200685,NA,30.81,NA,6513,1472,0.5531,8,0
1986-01-12,32,3809728,Benefactors,Brooks Atkinson Theatre,202005,NA,28.83,NA,7006,1080,0.8109,8,0
1986-01-12,32,3809728,Big River,Eugene O'Neill Theatre,226715,NA,34.77,NA,6521,1018,0.8007,8,0
1986-01-12,32,3809728,Biloxi Blues,Neil Simon Theatre,147275,NA,25.89,NA,5689,1336,0.5323,8,0
1986-01-12,32,3809728,Blood Knot,John Golden Theatre,68007,NA,20.02,NA,3397,805,0.5275,8,0
1986-01-12,32,3809728,Brighton Beach Memoirs,46th Street Theatre,87238,NA,19.06,NA,4578,1368,0.4183,8,0
1986-01-12,32,3809728,Cats,Winter Garden Theatre,465742,NA,38.81,NA,12000,1482,1.0121,8,0
1986-01-12,32,3809728,Corpse!,Helen Hayes Theatre,36250,NA,72.5,NA,500,499,0.1253,8,0
1986-01-12,32,3809728,Hay Fever,Music Box Theatre,111646,NA,25.59,NA,4363,1110,0.4913,8,0
1986-01-12,32,3809728,I'm Not Rappaport,Booth Theatre,123740,NA,24.87,NA,4975,785,0.7922,8,0
1986-01-12,32,3809728,Jerry's Girls,St. James Theatre,170346,NA,24.91,NA,6838,1621,0.5273,8,0
1986-01-12,32,3809728,La Cage aux Folles,Palace Theatre,348963,NA,39.56,NA,8822,1683,0.6552,8,0
1986-01-12,32,3809728,Lillian,Ethel Barrymore Theatre,20218,NA,16.5,NA,1225,1088,0.563,0,2
1986-01-12,32,3809728,Oh! Calcutta!,Edison Theatre,30620,NA,14.26,NA,2147,499,0.5378,8,0
1986-01-12,32,3809728,Singin' in the Rain,Gershwin Theatre,268644,NA,31.68,NA,8480,1933,0.5484,8,0
1986-01-12,32,3809728,Song and Dance,Royale Theatre,213778,NA,33.33,NA,6414,1039,0.7717,8,0
1986-01-12,32,3809728,Tango Argentino,Mark Hellinger Theatre,226339,NA,35.03,NA,6461,1603,0.5038,8,0
1986-01-12,32,3809728,The Caretaker,Circle in the Square Theatre,14855,NA,16.9,NA,879,666,0.33,0,4
1986-01-12,32,3809728,The Mystery of Edwin Drood,Imperial Theatre,292543,NA,32.9,NA,8891,1425,0.7799,8,0
1986-01-12,32,3809728,The Odd Couple,Broadhurst Theatre,104091,NA,27.8,NA,3744,1181,0.3963,8,0
1986-01-12,32,3809728,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,238164,NA,27.67,NA,8607,1079,0.9971,8,0
1986-01-19,33,4111558,42nd Street,St. James Theatre,216503,NA,32.85,NA,6591,1655,0.4978,8,0
1986-01-19,33,4111558,A Chorus Line,Sam S. Shubert Theatre,201209,NA,31.64,NA,6359,1472,0.54,8,0
1986-01-19,33,4111558,Benefactors,Brooks Atkinson Theatre,242633,NA,29.94,NA,8104,1080,0.938,8,0
1986-01-19,33,4111558,Big River,Eugene O'Neill Theatre,234974,NA,33.78,NA,6956,1018,0.8541,8,0
1986-01-19,33,4111558,Biloxi Blues,Neil Simon Theatre,156722,NA,26.38,NA,5941,1336,0.5559,8,0
1986-01-19,33,4111558,Blood Knot,John Golden Theatre,64878,NA,18.24,NA,3556,805,0.5522,8,0
1986-01-19,33,4111558,Brighton Beach Memoirs,46th Street Theatre,93643,NA,19.72,NA,4748,1368,0.4338,8,0
1986-01-19,33,4111558,Cats,Winter Garden Theatre,461851,NA,38.56,NA,11976,1482,1.0101,8,0
1986-01-19,33,4111558,Corpse!,Helen Hayes Theatre,47925,NA,50.45,NA,950,499,0.238,8,0
1986-01-19,33,4111558,Hay Fever,Music Box Theatre,110913,NA,25.98,NA,4269,1110,0.4807,8,0
1986-01-19,33,4111558,I'm Not Rappaport,Booth Theatre,130954,NA,25.33,NA,5170,785,0.8232,8,0
1986-01-19,33,4111558,Jerome Kern Goes to Hollywood,Ritz Theatre,53223,NA,18,NA,2957,928,0.5311,0,6
1986-01-19,33,4111558,Jerry's Girls,St. James Theatre,163932,NA,22.87,NA,7168,1621,0.5527,8,0
1986-01-19,33,4111558,La Cage aux Folles,Palace Theatre,354148,NA,35.27,NA,10040,1683,0.7457,8,0
1986-01-19,33,4111558,Lillian,Ethel Barrymore Theatre,55149,NA,17.43,NA,3164,1088,0.3635,5,3
1986-01-19,33,4111558,Oh! Calcutta!,Edison Theatre,31051,NA,14.25,NA,2179,499,0.4852,9,0
1986-01-19,33,4111558,Singin' in the Rain,Gershwin Theatre,285470,NA,31.83,NA,8968,1933,0.5799,8,0
1986-01-19,33,4111558,Song and Dance,Royale Theatre,210177,NA,34.06,NA,6171,1039,0.7424,8,0
1986-01-19,33,4111558,Tango Argentino,Mark Hellinger Theatre,245843,NA,35.39,NA,6946,1603,0.5416,8,0
1986-01-19,33,4111558,The Caretaker,Circle in the Square Theatre,37767,NA,14.74,NA,2563,666,0.481,0,8
1986-01-19,33,4111558,The Mystery of Edwin Drood,Imperial Theatre,310782,NA,33.45,NA,9290,1425,0.8149,8,0
1986-01-19,33,4111558,The Odd Couple,Broadhurst Theatre,105425,NA,27.58,NA,3823,1181,0.4046,8,0
1986-01-19,33,4111558,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,236076,NA,27.56,NA,8566,1079,0.9924,8,0
1986-01-19,33,4111558,Uptown...It's Hot!,Lunt-Fontanne Theatre,60310,NA,18.3,NA,3296,1472,0.4478,0,5
1986-01-26,34,3555363,42nd Street,St. James Theatre,168256,NA,32.36,NA,5200,1655,0.3927,8,0
1986-01-26,34,3555363,A Chorus Line,Sam S. Shubert Theatre,163872,NA,31.98,NA,5124,1472,0.4351,8,0
1986-01-26,34,3555363,Benefactors,Brooks Atkinson Theatre,197982,NA,29.76,NA,6653,1080,0.77,8,0
1986-01-26,34,3555363,Big River,Eugene O'Neill Theatre,185532,NA,31.88,NA,5820,1018,0.7146,8,0
1986-01-26,34,3555363,Biloxi Blues,Neil Simon Theatre,126669,NA,25.91,NA,4889,1336,0.4574,8,0
1986-01-26,34,3555363,Blood Knot,John Golden Theatre,51965,NA,17.13,NA,3033,805,0.471,8,0
1986-01-26,34,3555363,Brighton Beach Memoirs,46th Street Theatre,68521,NA,20.69,NA,3312,1368,0.3026,8,0
1986-01-26,34,3555363,Cats,Winter Garden Theatre,456476,NA,38.33,NA,11909,1482,1.0045,8,0
1986-01-26,34,3555363,Corpse!,Helen Hayes Theatre,42300,NA,47,NA,900,499,0.2255,8,0
1986-01-26,34,3555363,Hay Fever,Music Box Theatre,110891,NA,26.2,NA,4232,1110,0.4766,8,0
1986-01-26,34,3555363,I'm Not Rappaport,Booth Theatre,103056,NA,25.24,NA,4083,785,0.6502,8,0
1986-01-26,34,3555363,Jerome Kern Goes to Hollywood,Ritz Theatre,48923,NA,13.52,NA,3618,928,0.4873,5,3
1986-01-26,34,3555363,Jerry's Girls,St. James Theatre,139749,NA,23.06,NA,6061,1621,0.4674,8,0
1986-01-26,34,3555363,La Cage aux Folles,Palace Theatre,300201,NA,33.83,NA,8875,1683,0.6592,8,0
1986-01-26,34,3555363,Lillian,Ethel Barrymore Theatre,38679,NA,16.01,NA,2416,1088,0.2776,8,0
1986-01-26,34,3555363,Oh! Calcutta!,Edison Theatre,27063,NA,14.24,NA,1901,499,0.4233,9,0
1986-01-26,34,3555363,Singin' in the Rain,Gershwin Theatre,250186,NA,30.56,NA,8187,1933,0.5294,8,0
1986-01-26,34,3555363,Song and Dance,Royale Theatre,181791,NA,34.94,NA,5203,1039,0.626,8,0
1986-01-26,34,3555363,Tango Argentino,Mark Hellinger Theatre,203573,NA,41.64,NA,4889,1603,0.3812,8,0
1986-01-26,34,3555363,The Caretaker,Circle in the Square Theatre,45556,NA,14.85,NA,3067,666,0.5756,0,8
1986-01-26,34,3555363,The Mystery of Edwin Drood,Imperial Theatre,250900,NA,34.09,NA,7361,1425,0.6457,8,0
1986-01-26,34,3555363,The Odd Couple,Broadhurst Theatre,77747,NA,27.74,NA,2803,1181,0.2967,8,0
1986-01-26,34,3555363,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,233752,NA,28.06,NA,8329,1079,0.9649,8,0
1986-01-26,34,3555363,Uptown...It's Hot!,Lunt-Fontanne Theatre,81723,NA,16.78,NA,4870,1472,0.4136,0,8
1986-02-02,35,3306361,42nd Street,St. James Theatre,160221,NA,31.87,NA,5027,1655,0.3797,8,0
1986-02-02,35,3306361,A Chorus Line,Sam S. Shubert Theatre,152050,NA,30.51,NA,4984,1472,0.4232,8,0
1986-02-02,35,3306361,Benefactors,Brooks Atkinson Theatre,186953,NA,30.3,NA,6170,1080,0.7141,8,0
1986-02-02,35,3306361,Big River,Eugene O'Neill Theatre,178404,NA,31.02,NA,5751,1018,0.7062,8,0
1986-02-02,35,3306361,Biloxi Blues,Neil Simon Theatre,114041,NA,25.27,NA,4513,1336,0.4222,8,0
1986-02-02,35,3306361,Blood Knot,John Golden Theatre,46752,NA,15.43,NA,3030,805,0.4705,8,0
1986-02-02,35,3306361,Brighton Beach Memoirs,46th Street Theatre,63978,NA,20.6,NA,3106,1368,0.2838,8,0
1986-02-02,35,3306361,Cats,Winter Garden Theatre,444502,NA,37.68,NA,11798,1482,0.9951,8,0
1986-02-02,35,3306361,Corpse!,Helen Hayes Theatre,39900,NA,49.88,NA,800,499,0.2004,8,0
1986-02-02,35,3306361,Hay Fever,Music Box Theatre,82572,NA,26.54,NA,3111,1110,0.3503,8,0
1986-02-02,35,3306361,I'm Not Rappaport,Booth Theatre,99388,NA,25.26,NA,3935,785,0.6266,8,0
1986-02-02,35,3306361,Jerome Kern Goes to Hollywood,Ritz Theatre,20303,NA,14.1,NA,1440,928,0.194,8,0
1986-02-02,35,3306361,Jerry's Girls,St. James Theatre,138618,NA,23.28,NA,5955,1621,0.4592,8,0
1986-02-02,35,3306361,La Cage aux Folles,Palace Theatre,288183,NA,34.78,NA,8286,1683,0.6154,8,0
1986-02-02,35,3306361,Lillian,Ethel Barrymore Theatre,31532,NA,23.6,NA,1336,1088,0.1535,8,0
1986-02-02,35,3306361,Oh! Calcutta!,Edison Theatre,24953,NA,14.22,NA,1755,499,0.3908,9,0
1986-02-02,35,3306361,Singin' in the Rain,Gershwin Theatre,198542,NA,30.99,NA,6407,1933,0.4143,8,0
1986-02-02,35,3306361,Song and Dance,Royale Theatre,150636,NA,35.06,NA,4296,1039,0.5168,8,0
1986-02-02,35,3306361,Tango Argentino,Mark Hellinger Theatre,206855,NA,31.79,NA,6506,1603,0.5073,8,0
1986-02-02,35,3306361,The Caretaker,Circle in the Square Theatre,41669,NA,17.04,NA,2446,666,0.4591,5,3
1986-02-02,35,3306361,The Mystery of Edwin Drood,Imperial Theatre,238231,NA,34.25,NA,6956,1425,0.6102,8,0
1986-02-02,35,3306361,The Odd Couple,Broadhurst Theatre,71974,NA,26.32,NA,2735,1181,0.2895,8,0
1986-02-02,35,3306361,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,224648,NA,28,NA,8024,1079,0.9296,8,0
1986-02-02,35,3306361,Uptown...It's Hot!,Lunt-Fontanne Theatre,101456,NA,29,NA,3499,1472,0.2971,8,0
1986-02-09,36,3054492,42nd Street,St. James Theatre,145554,NA,32.49,NA,4480,1655,0.3384,8,0
1986-02-09,36,3054492,A Chorus Line,Sam S. Shubert Theatre,150029,NA,30.86,NA,4862,1472,0.4129,8,0
1986-02-09,36,3054492,Benefactors,Brooks Atkinson Theatre,164781,NA,31.48,NA,5234,1080,0.6058,8,0
1986-02-09,36,3054492,Big River,Eugene O'Neill Theatre,172743,NA,32.4,NA,5331,1018,0.6546,8,0
1986-02-09,36,3054492,Biloxi Blues,Neil Simon Theatre,105286,NA,26.02,NA,4046,1336,0.3786,8,0
1986-02-09,36,3054492,Blood Knot,John Golden Theatre,41387,NA,13.58,NA,3048,805,0.4733,8,0
1986-02-09,36,3054492,Brighton Beach Memoirs,46th Street Theatre,58152,NA,19.02,NA,3057,1368,0.2793,8,0
1986-02-09,36,3054492,Cats,Winter Garden Theatre,437191,NA,36.87,NA,11858,1482,1.0002,8,0
1986-02-09,36,3054492,Corpse!,Helen Hayes Theatre,36000,NA,51.43,NA,700,499,0.1754,8,0
1986-02-09,36,3054492,Hay Fever,Music Box Theatre,81055,NA,24.5,NA,3309,1110,0.3726,8,0
1986-02-09,36,3054492,I'm Not Rappaport,Booth Theatre,91967,NA,26.1,NA,3524,785,0.5611,8,0
1986-02-09,36,3054492,Jerry's Girls,St. James Theatre,122560,NA,22.9,NA,5352,1621,0.4127,8,0
1986-02-09,36,3054492,La Cage aux Folles,Palace Theatre,274397,NA,34.76,NA,7893,1683,0.5862,8,0
1986-02-09,36,3054492,Lillian,Ethel Barrymore Theatre,34564,NA,20.86,NA,1657,1088,0.1904,8,0
1986-02-09,36,3054492,Oh! Calcutta!,Edison Theatre,24275,NA,14.21,NA,1708,499,0.3803,9,0
1986-02-09,36,3054492,Singin' in the Rain,Gershwin Theatre,165041,NA,30.53,NA,5405,1933,0.3495,8,0
1986-02-09,36,3054492,Song and Dance,Royale Theatre,155832,NA,35.2,NA,4427,1039,0.5326,8,0
1986-02-09,36,3054492,Tango Argentino,Mark Hellinger Theatre,170830,NA,30.46,NA,5609,1603,0.4374,8,0
1986-02-09,36,3054492,The Caretaker,Circle in the Square Theatre,53411,NA,17.05,NA,3132,666,0.5878,8,0
1986-02-09,36,3054492,The Mystery of Edwin Drood,Imperial Theatre,198396,NA,34.29,NA,5785,1425,0.5075,8,0
1986-02-09,36,3054492,The Odd Couple,Broadhurst Theatre,60991,NA,27.4,NA,2226,1181,0.2356,8,0
1986-02-09,36,3054492,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,213587,NA,27.75,NA,7696,1079,0.8916,8,0
1986-02-09,36,3054492,Uptown...It's Hot!,Lunt-Fontanne Theatre,96463,NA,22.22,NA,4341,1472,0.3686,8,0
1986-02-16,37,3882120,42nd Street,St. James Theatre,241161,NA,33.37,NA,7226,1655,0.5458,8,0
1986-02-16,37,3882120,A Chorus Line,Sam S. Shubert Theatre,210343,NA,31.69,NA,6638,1472,0.5637,8,0
1986-02-16,37,3882120,Benefactors,Brooks Atkinson Theatre,195184,NA,30.58,NA,6383,1080,0.7388,8,0
1986-02-16,37,3882120,Big River,Eugene O'Neill Theatre,228091,NA,34.59,NA,6594,1018,0.8097,8,0
1986-02-16,37,3882120,Biloxi Blues,Neil Simon Theatre,148327,NA,23.9,NA,6207,1336,0.5807,8,0
1986-02-16,37,3882120,Blood Knot,John Golden Theatre,49470,NA,15.69,NA,3153,805,0.4896,8,0
1986-02-16,37,3882120,Brighton Beach Memoirs,46th Street Theatre,98961,NA,20.65,NA,4792,1368,0.4379,8,0
1986-02-16,37,3882120,Cats,Winter Garden Theatre,454983,NA,38.06,NA,11954,1482,1.0083,8,0
1986-02-16,37,3882120,Corpse!,Helen Hayes Theatre,39000,NA,48.75,NA,800,499,0.2004,8,0
1986-02-16,37,3882120,Hay Fever,Music Box Theatre,91720,NA,12.52,NA,7328,1016,0.9016,8,0
1986-02-16,37,3882120,I'm Not Rappaport,Booth Theatre,113771,NA,26.75,NA,4253,785,0.6772,8,0
1986-02-16,37,3882120,Jerry's Girls,St. James Theatre,190481,NA,25.99,NA,7328,1621,0.5651,8,0
1986-02-16,37,3882120,La Cage aux Folles,Palace Theatre,346822,NA,36.51,NA,9500,1683,0.7056,8,0
1986-02-16,37,3882120,Lillian,Ethel Barrymore Theatre,45941,NA,21.99,NA,2089,1088,0.24,8,0
1986-02-16,37,3882120,Oh! Calcutta!,Edison Theatre,40808,NA,14.43,NA,2828,499,0.7084,8,0
1986-02-16,37,3882120,Singin' in the Rain,Gershwin Theatre,162000,NA,31.15,NA,5200,1933,0.3363,8,0
1986-02-16,37,3882120,Song and Dance,Royale Theatre,191024,NA,35.93,NA,5317,1039,0.6397,8,0
1986-02-16,37,3882120,Tango Argentino,Mark Hellinger Theatre,224104,NA,36.15,NA,6200,1603,0.4835,8,0
1986-02-16,37,3882120,The Caretaker,Circle in the Square Theatre,54768,NA,16.72,NA,3276,666,0.6149,8,0
1986-02-16,37,3882120,The Mystery of Edwin Drood,Imperial Theatre,265815,NA,34.41,NA,7726,1425,0.6777,8,0
1986-02-16,37,3882120,The Odd Couple,Broadhurst Theatre,112280,NA,26.01,NA,4316,1181,0.4568,8,0
1986-02-16,37,3882120,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,227711,NA,28.14,NA,8093,1079,0.9376,8,0
1986-02-16,37,3882120,Uptown...It's Hot!,Lunt-Fontanne Theatre,149355,NA,28.06,NA,5323,1472,0.452,8,0
1986-02-23,38,3483191,42nd Street,St. James Theatre,204408,NA,31.02,NA,6589,1655,0.4977,8,0
1986-02-23,38,3483191,A Chorus Line,Sam S. Shubert Theatre,207716,NA,30.76,NA,6752,1472,0.5734,8,0
1986-02-23,38,3483191,Benefactors,Brooks Atkinson Theatre,169024,NA,29.27,NA,5774,1080,0.6683,8,0
1986-02-23,38,3483191,Big River,Eugene O'Neill Theatre,213565,NA,31.09,NA,6870,1018,0.8436,8,0
1986-02-23,38,3483191,Biloxi Blues,Neil Simon Theatre,120838,NA,25.16,NA,4803,1336,0.4494,8,0
1986-02-23,38,3483191,Blood Knot,John Golden Theatre,40333,NA,15,NA,2688,805,0.4174,8,0
1986-02-23,38,3483191,Brighton Beach Memoirs,46th Street Theatre,77656,NA,16.87,NA,4603,1368,0.4206,8,0
